COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
75,California,San Francisco County,6,881549,870014,815201
77,California,San Joaquin County,6,762148,780517,789410
79,California,San Luis Obispo County,6,283111,282231,283159
81,California,San Mateo County,6,766573,762453,737888
83,California,Santa Barbara County,6,446499,448096,446475
85,California,Santa Clara County,6,1927852,1930598,1885508
87,California,Santa Cruz County,6,46498,270353,267792
89,California,Shasta County,6,180080,181893,182139
91,California,Sierra County,6,3005,3228,3283
93,California,Siskiyou County,6,43539,43962,44118
95,California,Solano County,6,447643,453274,451716
97,California,Sonoma County,6,494336,488345,485887
99,California,Stanislaus County,6,550660,552710,552999
101,California,Sutter County,6,96971,99480,99063
103,California,Tehama County,6,65084,65615,65498
105,California,Trinity County,6,12285,16088,16060
107,California,Tulare County,6,466195,473736,477054
109,California,Tuolumne County,6,54478,55516,55810
111,California,Ventura County,6,846006,842921,839784
113,California,Yolo County,6,220500,216255,216986
115,California,Yuba County,6,78668,81932,83421
1,Colorado,Adams County,8,517421,520163,522140
3,Colorado,Alamosa County,8,16233,16362,16547
5,Colorado,Arapahoe County,8,656590,655112,654900
7,Colorado,Archuleta County,8,14029,13424,13790
9,Colorado,Baca County,8,3581,3486,3514
11,Colorado,Bent County,8,5577,5635,5759
13,Colorado,Boulder County,8,326196,330811,329543
14,Colorado,Broomfield County,8,70465,74513,75325
15,Colorado,Chaffee County,8,20356,19571,20074
17,Colorado,Cheyenne County,8,1831,1736,1707
19,Colorado,Clear Creek County,8,9700,9404,9446
21,Colorado,Conejos County,8,8205,7464,7612
23,Colorado,Costilla County,8,3887,3506,3625
25,Colorado,Crowley County,8,6061,5893,6012
27,Colorado,Custer County,8,5068,4712,5045
29,Colorado,Delta County,8,31162,31232,31661
31,Colorado,Denver County,8,727211,717630,711463
33,Colorado,Dolores County,8,2055,2338,2397
35,Colorado,Douglas County,8,351154,360102,368990
37,Colorado,Eagle County,8,55127,55665,55727
39,Colorado,Elbert County,8,26729,26206,27128
41,Colorado,El Paso County,8,720403,731847,737867
43,Colorado,Fremont County,8,47839,48981,49661
45,Colorado,Garfield County,8,60061,61776,62161
47,Colorado,Gilpin County,8,6243,5810,5873
49,Colorado,Grand County,8,15734,15733,15860
51,Colorado,Gunnison County,8,17462,16945,17281
53,Colorado,Hinsdale County,8,820,794,781
55,Colorado,Huerfano County,8,6897,6810,6920
57,Colorado,Jackson County,8,51626,1376,1363
59,Colorado,Jefferson County,8,658573,582928,579581
61,Colorado,Kiowa County,8,1406,1452,1452
63,Colorado,Kit Carson County,8,7097,7064,6950
65,Colorado,Lake County,8,64386,7409,7407
67,Colorado,La Plata County,8,56221,55642,56250
69,Colorado,Larimer County,8,356899,359686,362533
71,Colorado,Las Animas County,8,14506,14564,14633
73,Colorado,Lincoln County,8,13024,5669,5688
75,Colorado,Logan County,8,21466,21495,21487
77,Colorado,Mesa County,8,154210,155939,157335
79,Colorado,Mineral County,8,769,867,924
81,Colorado,Moffat County,8,13283,13267,13185
83,Colorado,Montezuma County,8,26183,25858,26175
85,Colorado,Montrose County,8,42758,42798,43168
87,Colorado,Morgan County,8,119679,29065,29008
89,Colorado,Otero County,8,18278,18667,18594
91,Colorado,Ouray County,8,4952,4869,5035
93,Colorado,Park County,8,18845,17421,17720
95,Colorado,Phillips County,8,17782,4534,4512
97,Colorado,Pitkin County,8,17767,17342,17348
99,Colorado,Prowers County,8,12172,11986,11996
101,Colorado,Pueblo County,8,168424,168467,169622
103,Colorado,Rio Blanco County,8,6324,6518,6476
105,Colorado,Rio Grande County,8,11267,11538,11408
107,Colorado,Routt County,8,25638,24839,25091
109,Colorado,Saguache County,8,6824,6383,6471
111,Colorado,San Juan County,8,728,710,733
113,Colorado,San Miguel County,8,8179,8055,8074
115,Colorado,Sedgwick County,8,2248,2390,2336
117,Colorado,Summit County,8,31011,30971,30941
119,Colorado,Teller County,8,25388,24726,24926
121,Colorado,Washington County,8,16326,4815,4861
123,Colorado,Weld County,8,324492,331358,340036
125,Colorado,Yuma County,8,213787,9979,9941
1,Connecticut,Fairfield County,9,943332,955895,959768
3,Connecticut,Hartford County,9,891720,897932,896854
5,Connecticut,Litchfield County,9,180333,184874,185000
7,Connecticut,Middlesex County,9,162436,163923,164759
9,Connecticut,New Haven County,9,854757,863498,863700
11,Connecticut,New London County,9,265206,268248,268805
13,Connecticut,Tolland County,9,150721,149650,150293
15,Connecticut,Windham County,9,116782,116240,116418
1,Delaware,Kent County,10,180786,182256,184149
3,Delaware,New Castle County,10,558753,570718,571708
5,Delaware,Sussex County,10,234225,238912,247527
1,District of Columbia,District of Columbia,11,705749,690093,670050
1,Florida,Alachua County,12,269043,278684,279238
3,Florida,Baker County,12,29210,28309,28715
5,Florida,Bay County,12,174705,174461,179168
7,Florida,Bradford County,12,28201,28364,28540
9,Florida,Brevard County,12,601942,608007,616628
11,Florida,Broward County,12,1952778,1941516,1930983
13,Florida,Calhoun County,12,113605,13615,13641
15,Florida,Charlotte County,12,188910,187960,194843
17,Florida,Citrus County,12,149657,154403,158083
19,Florida,Clay County,12,13235,218797,222361
21,Florida,Collier County,12,384902,377079,385980
23,Florida,Columbia County,12,23457,69889,70385
27,Florida,DeSoto County,12,38001,34080,34408
29,Florida,Dixie County,12,16826,16805,17102
31,Florida,Duval County,12,957755,996373,999935
33,Florida,Escambia County,12,36633,322424,322390
35,Florida,Flagler County,12,115081,115968,120932
37,Florida,Franklin County,12,31362,12456,12572
39,Florida,Gadsden County,12,45660,43701,43714
41,Florida,Gilchrist County,12,18582,17928,18360
43,Florida,Glades County,12,13811,12179,12234
45,Florida,Gulf County,12,13639,14181,14363
47,Florida,Hamilton County,12,14428,13988,13993
49,Florida,Hardee County,12,26937,25313,25425
51,Florida,Hendry County,12,42022,39707,40313
53,Florida,Hernando County,12,193920,195508,200638
55,Florida,Highlands County,12,106221,101222,103296
57,Florida,Hillsborough County,12,1471968,1463380,1478194
59,Florida,Holmes County,12,19617,19622,19784
61,Florida,Indian River County,12,159923,160345,163662
63,Florida,Jackson County,12,51626,47214,47694
65,Florida,Jefferson County,12,658573,14560,14555
67,Florida,Lafayette County,12,6624,8252,8382
69,Florida,Lake County,12,64386,385875,395804
71,Florida,Lee County,12,164542,764679,787976
73,Florida,Leon County,12,293582,292378,292817
75,Florida,Levy County,12,41503,43051,44158
77,Florida,Liberty County,12,8354,7974,7900
79,Florida,Madison County,12,372909,17976,18288
81,Florida,Manatee County,12,403253,401443,412703
83,Florida,Marion County,12,29709,377370,385915
85,Florida,Martin County,12,161000,158529,159942
86,Florida,Miami-Dade County,12,2716940,2692459,2662777
87,Florida,Monroe County,12,20733,82809,82170
89,Florida,Nassau County,12,88625,90993,94189
91,Florida,Okaloosa County,12,210738,211809,213255
93,Florida,Okeechobee County,12,42168,39641,40266
95,Florida,Orange County,12,3175692,1429899,1422746
97,Florida,Osceola County,12,375751,390855,403282
99,Florida,Palm Beach County,12,1496770,1492466,1497987
101,Florida,Pasco County,12,553947,565745,584067
103,Florida,Pinellas County,12,974996,958752,956615
105,Florida,Polk County,12,19964,729233,753520
107,Florida,Putnam County,12,74521,73347,74167
109,Florida,St. Johns County,12,264672,276916,292466
111,Florida,St. Lucie County,12,328297,331275,343579
113,Florida,Santa Rosa County,12,184313,189133,193998
115,Florida,Sarasota County,12,433742,435664,447057
117,Florida,Seminole County,12,471826,471058,470093
119,Florida,Sumter County,12,12427,130897,135638
121,Florida,Suwannee County,12,44417,43510,44485
123,Florida,Taylor County,12,21569,21760,21815
125,Florida,Union County,12,38682,16126,16335
127,Florida,Volusia County,12,553284,554901,564412
129,Florida,Wakulla County,12,33739,33907,34690
131,Florida,Walton County,12,74071,75855,80069
133,Florida,Washington County,12,16326,25357,25436
1,Georgia,Appling County,13,18386,18428,18488
3,Georgia,Atkinson County,13,8165,8301,8391
5,Georgia,Bacon County,13,11164,11123,11079
7,Georgia,Baker County,13,29210,2844,2819
9,Georgia,Baldwin County,13,223234,43773,43781
11,Georgia,Banks County,13,19234,18069,18562
13,Georgia,Barrow County,13,83240,83963,86658
15,Georgia,Bartow County,13,107738,109311,110843
17,Georgia,Ben Hill County,13,16700,17153,17158
19,Georgia,Berrien County,13,19397,18159,18147
21,Georgia,Bibb County,13,22394,157104,156762
23,Georgia,Bleckley County,13,12873,12577,12607
25,Georgia,Brantley County,13,19109,18040,18101
27,Georgia,Brooks County,13,15457,16232,16270
29,Georgia,Bryan County,13,39627,44999,46938
31,Georgia,Bulloch County,13,79608,81378,82442
33,Georgia,Burke County,13,22383,24621,24310
35,Georgia,Butts County,13,24936,25542,25781
37,Georgia,Calhoun County,13,113605,5560,5509
39,Georgia,Camden County,13,54666,54911,55664
43,Georgia,Candler County,13,10803,11001,11037
45,Georgia,Carroll County,13,28380,119463,121968
47,Georgia,Catoosa County,13,67580,67976,68397
49,Georgia,Charlton County,13,13392,12530,12766
51,Georgia,Chatham County,13,289430,294904,296329
53,Georgia,Chattahoochee County,13,10907,9482,9048
55,Georgia,Chattooga County,13,24789,24921,24932
57,Georgia,Cherokee County,13,26196,268043,274615
59,Georgia,Clarke County,13,23622,128489,128711
61,Georgia,Clay County,13,13235,2835,2882
63,Georgia,Clayton County,13,292256,297417,297100
65,Georgia,Clinch County,13,6618,6723,6725
67,Georgia,Cobb County,13,760141,766209,766802
69,Georgia,Coffee County,13,52342,43047,43386
71,Georgia,Colquitt County,13,45600,45866,45812
73,Georgia,Columbia County,13,23457,156773,159639
75,Georgia,Cook County,13,17270,17232,17225
77,Georgia,Coweta County,13,148509,146653,149956
79,Georgia,Crawford County,13,63257,12100,12153
81,Georgia,Crisp County,13,22372,20042,19879
83,Georgia,Dade County,13,16116,16224,16326
85,Georgia,Dawson County,13,26108,27047,28497
87,Georgia,Decatur County,13,26404,29338,29038
89,Georgia,DeKalb County,13,71513,763831,757718
91,Georgia,Dodge County,13,20605,19849,19759
93,Georgia,Dooly County,13,13390,11142,10885
95,Georgia,Dougherty County,13,87956,85366,84844
97,Georgia,Douglas County,13,351154,144497,145814
99,Georgia,Early County,13,10190,10813,10619
101,Georgia,Echols County,13,4006,3696,3699
103,Georgia,Effingham County,13,64296,65150,66741
105,Georgia,Elbert County,13,26729,19627,19579
107,Georgia,Emanuel County,13,22646,22730,22716
109,Georgia,Evans County,13,10654,10757,10672
111,Georgia,Fannin County,13,26188,25396,25817
113,Georgia,Fayette County,13,16302,119441,120574
115,Georgia,Floyd County,13,98498,98593,98771
117,Georgia,Forsyth County,13,244252,252786,260206
119,Georgia,Franklin County,13,31362,23429,23785
121,Georgia,Fulton County,13,12477,1069023,1065334
123,Georgia,Gilmer County,13,31369,31429,32026
125,Georgia,Glascock County,13,2971,2883,2919
127,Georgia,Glynn County,13,85292,84470,84739
129,Georgia,Gordon County,13,57963,57696,58237
131,Georgia,Grady County,13,24633,26221,25918
133,Georgia,Greene County,13,8111,19025,19536
135,Georgia,Gwinnett County,13,936250,957801,964546
137,Georgia,Habersham County,13,45328,46105,46774
139,Georgia,Hall County,13,204441,203589,207369
141,Georgia,Hancock County,13,8457,8722,8630
143,Georgia,Haralson County,13,29792,29985,30572
145,Georgia,Harris County,13,35236,34927,35626
147,Georgia,Hart County,13,26205,25866,26409
149,Georgia,Heard County,13,11923,11465,11565
151,Georgia,Henry County,13,17205,241818,245235
153,Georgia,Houston County,13,105882,164242,166829
155,Georgia,Irwin County,13,9416,9643,9618
157,Georgia,Jackson County,13,51626,76712,80286
159,Georgia,Jasper County,13,14219,14638,15278
161,Georgia,Jeff Davis County,13,15115,14777,14872
163,Georgia,Jefferson County,13,658573,15658,15524
165,Georgia,Jenkins County,13,8676,8662,8639
167,Georgia,Johnson County,13,26578,9168,9160
169,Georgia,Jones County,13,28735,28356,28400
171,Georgia,Lamar County,13,13805,18550,19080
173,Georgia,Lanier County,13,10423,9916,9907
175,Georgia,Laurens County,13,47546,49497,49547
177,Georgia,Lee County,13,164542,33179,33411
179,Georgia,Liberty County,13,8354,65220,65711
181,Georgia,Lincoln County,13,13024,7704,7749
183,Georgia,Long County,13,19559,16287,17152
185,Georgia,Lowndes County,13,9726,118316,119276
187,Georgia,Lumpkin County,13,33610,33596,34278
189,Georgia,McDuffie County,13,21312,21587,21633
191,Georgia,McIntosh County,13,14378,10982,11123
193,Georgia,Macon County,13,18068,12021,12004
195,Georgia,Madison County,13,372909,30263,30885
197,Georgia,Marion County,13,29709,7520,7440
199,Georgia,Meriwether County,13,21167,20619,20793
201,Georgia,Miller County,13,43257,5987,5919
205,Georgia,Mitchell County,13,21863,21677,21521
207,Georgia,Monroe County,13,20733,28046,28712
209,Georgia,Montgomery County,13,226486,8577,8653
211,Georgia,Morgan County,13,119679,20174,20635
213,Georgia,Murray County,13,40096,39938,39951
215,Georgia,Muscogee County,13,195769,206960,205617
217,Georgia,Newton County,13,7753,112780,115355
219,Georgia,Oconee County,13,40280,42021,43023
221,Georgia,Oglethorpe County,13,15259,14865,15140
223,Georgia,Paulding County,13,168667,169660,173780
225,Georgia,Peach County,13,27546,28035,28417
227,Georgia,Pickens County,13,19930,33333,34024
229,Georgia,Pierce County,13,19465,19722,19976
231,Georgia,Pike County,13,33114,18935,19477
233,Georgia,Polk County,13,19964,42925,43496
235,Georgia,Pulaski County,13,391911,9863,9917
237,Georgia,Putnam County,13,74521,22140,22585
239,Georgia,Quitman County,13,2299,2224,2243
241,Georgia,Rabun County,13,17137,16894,17119
243,Georgia,Randolph County,13,22722,6377,6287
245,Georgia,Richmond County,13,202518,206328,205673
247,Georgia,Rockdale County,13,90896,93614,94082
249,Georgia,Schley County,13,5257,4538,4478
251,Georgia,Screven County,13,13966,14060,14105
253,Georgia,Seminole County,13,471826,9138,9197
255,Georgia,Spalding County,13,66703,67413,67909
257,Georgia,Stephens County,13,25925,26800,26865
259,Georgia,Stewart County,13,6621,5295,5341
261,Georgia,Sumter County,13,12427,29553,29283
263,Georgia,Talbot County,13,6195,5731,5742
265,Georgia,Taliaferro County,13,1537,1557,1558
267,Georgia,Tattnall County,13,25286,22852,23052
269,Georgia,Taylor County,13,21569,7814,7799
271,Georgia,Telfair County,13,15860,12461,12414
273,Georgia,Terrell County,13,8531,9153,8964
275,Georgia,Thomas County,13,44451,45766,45842
277,Georgia,Tift County,13,40644,41348,41212
279,Georgia,Toombs County,13,26830,27052,26911
281,Georgia,Towns County,13,12037,12539,12875
283,Georgia,Treutlen County,13,6901,6390,6306
285,Georgia,Troup County,13,69922,69388,69720
287,Georgia,Turner County,13,7985,8971,8966
289,Georgia,Twiggs County,13,8120,7986,7856
291,Georgia,Union County,13,38682,24766,25521
293,Georgia,Upson County,13,26320,27712,27720
295,Georgia,Walker County,13,63521,67711,68510
297,Georgia,Walton County,13,74071,97135,99853
299,Georgia,Ware County,13,35734,36218,36033
301,Georgia,Warren County,13,5254,5205,5240
303,Georgia,Washington County,13,16326,19927,19785
305,Georgia,Wayne County,13,29927,30155,30380
307,Georgia,Webster County,13,2607,2350,2367
309,Georgia,Wheeler County,13,7855,7430,7471
311,Georgia,White County,13,78753,28090,28442
313,Georgia,Whitfield County,13,104628,102727,102848
315,Georgia,Wilcox County,13,10373,8731,8739
317,Georgia,Wilkes County,13,9777,9556,9513
319,Georgia,Wilkinson County,13,8954,8844,8831
321,Georgia,Worth County,13,20247,20719,20554
1,Hawaii,Hawaii County,15,201513,200746,202906
3,Hawaii,Honolulu County,15,974563,1013227,1000890
5,Hawaii,Kalawao County,15,86,82,82
7,Hawaii,Kauai County,15,72293,73201,73454
