countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
127,Arkansas,Scott County,6984.0,7021.0,968.0,855.0,125.0,133.0,125.0,133.0,5
129,Arkansas,Searcy County,5077.0,5113.0,652.0,553.0,83.0,87.0,83.0,87.0,5
131,Arkansas,Sebastian County,90069.0,90848.0,14914.0,13374.0,1444.0,1480.0,1444.0,1480.0,5
133,Arkansas,Sevier County,11632.0,11418.0,2617.0,2368.0,281.0,309.0,281.0,309.0,5
135,Arkansas,Sharp County,11108.0,11257.0,1504.0,1287.0,187.0,190.0,187.0,190.0,5
123,Arkansas,St. Francis County,14994.0,14150.0,1482.0,1548.0,192.0,238.0,192.0,238.0,5
137,Arkansas,Stone County,7704.0,7872.0,1167.0,1002.0,142.0,149.0,142.0,149.0,5
139,Arkansas,Union County,28232.0,27259.0,2847.0,2836.0,335.0,391.0,335.0,391.0,5
141,Arkansas,Van Buren County,10525.0,10690.0,1442.0,1152.0,180.0,174.0,180.0,174.0,5
143,Arkansas,Washington County,174152.0,179754.0,28563.0,26994.0,2481.0,2623.0,2481.0,2623.0,5
145,Arkansas,White County,56236.0,55337.0,6290.0,7002.0,678.0,878.0,678.0,878.0,5
147,Arkansas,Woodruff County,4271.0,4123.0,466.0,420.0,62.0,67.0,62.0,67.0,5
149,Arkansas,Yell County,14865.0,14667.0,2363.0,2294.0,281.0,304.0,281.0,304.0,5
1,California,Alameda County,1346982.0,1368328.0,72422.0,70851.0,5118.0,5365.0,5118.0,5365.0,6
3,California,Alpine County,758.0,746.0,72.0,92.0,10.0,15.0,10.0,15.0,6
5,California,Amador County,22933.0,23225.0,1851.0,1599.0,227.0,243.0,227.0,243.0,6
7,California,Butte County,161203.0,158242.0,13710.0,12276.0,1509.0,1544.0,1509.0,1544.0,6
9,California,Calaveras County,30117.0,30272.0,2579.0,2365.0,319.0,342.0,319.0,342.0,6
11,California,Colusa County,15768.0,15557.0,2195.0,2327.0,258.0,323.0,258.0,323.0,6
13,California,Contra Costa County,904085.0,921700.0,62447.0,52246.0,4810.0,4644.0,4810.0,4644.0,6
15,California,Del Norte County,17955.0,18272.0,1652.0,1397.0,205.0,207.0,205.0,207.0,6
17,California,El Dorado County,141405.0,142004.0,9349.0,8069.0,1037.0,1009.0,1037.0,1009.0,6
19,California,Fresno County,764420.0,776173.0,82348.0,75245.0,5946.0,5904.0,5946.0,5904.0,6
21,California,Glenn County,20440.0,20273.0,2905.0,2816.0,343.0,385.0,343.0,385.0,6
23,California,Humboldt County,96479.0,98329.0,10146.0,8194.0,1150.0,1114.0,1150.0,1114.0,6
25,California,Imperial County,131798.0,131654.0,14070.0,12827.0,1502.0,1598.0,1502.0,1598.0,6
27,California,Inyo County,12366.0,12178.0,1234.0,1387.0,151.0,186.0,151.0,186.0,6
29,California,Kern County,686486.0,684830.0,70588.0,72557.0,5347.0,5984.0,5347.0,5984.0,6
31,California,Kings County,108053.0,108667.0,11212.0,10606.0,1258.0,1341.0,1258.0,1341.0,6
33,California,Lake County,43859.0,44646.0,4557.0,3723.0,516.0,511.0,516.0,511.0,6
35,California,Lassen County,17453.0,17463.0,914.0,817.0,120.0,134.0,120.0,134.0,6
37,California,Los Angeles County,7524268.0,7553547.0,940376.0,856709.0,23470.0,22840.0,23470.0,22840.0,6
39,California,Madera County,111958.0,113212.0,13807.0,12806.0,1421.0,1521.0,1421.0,1521.0,6
41,California,Marin County,185579.0,186362.0,10406.0,8224.0,1100.0,1016.0,1100.0,1016.0,6
43,California,Mariposa County,10831.0,11070.0,1190.0,971.0,152.0,154.0,152.0,154.0,6
45,California,Mendocino County,58371.0,57307.0,6908.0,7213.0,704.0,859.0,704.0,859.0,6
47,California,Merced County,208796.0,212123.0,26939.0,24983.0,2489.0,2583.0,2489.0,2583.0,6
49,California,Modoc County,5457.0,5519.0,709.0,523.0,86.0,78.0,86.0,78.0,6
51,California,Mono County,10632.0,10540.0,1258.0,1302.0,167.0,200.0,167.0,200.0,6
53,California,Monterey County,311846.0,311141.0,42273.0,40323.0,3409.0,3577.0,3409.0,3577.0,6
55,California,Napa County,98628.0,97351.0,9391.0,9167.0,977.0,1083.0,977.0,1083.0,6
57,California,Nevada County,66181.0,66380.0,4976.0,4354.0,575.0,596.0,575.0,596.0,6
59,California,Orange County,2435415.0,2492782.0,235378.0,203515.0,11186.0,10960.0,11186.0,10960.0,6
61,California,Placer County,304636.0,310542.0,15593.0,14599.0,1606.0,1730.0,1606.0,1730.0,6
63,California,Plumas County,12255.0,12191.0,886.0,811.0,114.0,121.0,114.0,121.0,6
65,California,Riverside County,1863541.0,1881822.0,203605.0,197079.0,10639.0,10910.0,10639.0,10910.0,6
67,California,Sacramento County,1218827.0,1241360.0,89530.0,84634.0,6200.0,6390.0,6200.0,6390.0,6
69,California,San Benito County,49482.0,50667.0,4869.0,4561.0,551.0,601.0,551.0,601.0,6
71,California,San Bernardino County,1686475.0,1709190.0,184915.0,167086.0,10396.0,10092.0,10396.0,10092.0,6
73,California,San Diego County,2521091.0,2546856.0,247271.0,228785.0,12190.0,12265.0,12190.0,12265.0,6
75,California,San Francisco County,696065.0,699157.0,37808.0,35804.0,3427.0,3541.0,3427.0,3541.0,6
77,California,San Joaquin County,593614.0,606314.0,53036.0,50785.0,4187.0,4317.0,4187.0,4317.0,6
79,California,San Luis Obispo County,195733.0,194306.0,14763.0,14226.0,1463.0,1656.0,1463.0,1656.0,6
81,California,San Mateo County,606701.0,621197.0,37100.0,28282.0,3166.0,2819.0,3166.0,2819.0,6
83,California,Santa Barbara County,314580.0,314136.0,43058.0,41787.0,3427.0,3712.0,3427.0,3712.0,6
85,California,Santa Clara County,1567921.0,1602702.0,91263.0,84138.0,5999.0,6134.0,5999.0,6134.0,6
87,California,Santa Cruz County,197973.0,194967.0,17026.0,16865.0,1652.0,1907.0,1652.0,1907.0,6
89,California,Shasta County,128424.0,129675.0,11387.0,9688.0,1219.0,1221.0,1219.0,1221.0,6
91,California,Sierra County,1883.0,1847.0,144.0,156.0,19.0,25.0,19.0,25.0,6
93,California,Siskiyou County,28519.0,28722.0,2910.0,2365.0,333.0,329.0,333.0,329.0,6
95,California,Solano County,343238.0,343171.0,21935.0,22621.0,2109.0,2468.0,2109.0,2468.0,6
97,California,Sonoma County,356724.0,356175.0,30207.0,27357.0,2609.0,2697.0,2609.0,2697.0,6
99,California,Stanislaus County,429824.0,434594.0,39386.0,34968.0,3326.0,3328.0,3326.0,3328.0,6
101,California,Sutter County,73639.0,73541.0,7213.0,7312.0,779.0,906.0,779.0,906.0,6
103,California,Tehama County,46690.0,46295.0,4448.0,4104.0,549.0,576.0,549.0,576.0,6
105,California,Trinity County,7701.0,7785.0,867.0,654.0,113.0,101.0,113.0,101.0,6
107,California,Tulare County,362166.0,363975.0,38062.0,38026.0,3313.0,3639.0,3313.0,3639.0,6
109,California,Tuolumne County,34259.0,33927.0,2498.0,2331.0,312.0,347.0,312.0,347.0,6
111,California,Ventura County,629720.0,641302.0,72745.0,56988.0,4994.0,4604.0,4994.0,4604.0,6
113,California,Yolo County,170063.0,172492.0,12146.0,10869.0,1332.0,1333.0,1332.0,1333.0,6
115,California,Yuba County,61394.0,62572.0,5424.0,5668.0,666.0,830.0,666.0,830.0,6
1,Colorado,Adams County,398764.0,399541.0,56098.0,56964.0,3890.0,4221.0,3890.0,4221.0,8
3,Colorado,Alamosa County,11215.0,10863.0,1686.0,1872.0,201.0,248.0,201.0,248.0,8
5,Colorado,Arapahoe County,510780.0,506861.0,54044.0,56459.0,3843.0,4147.0,3843.0,4147.0,8
7,Colorado,Archuleta County,8627.0,8548.0,1386.0,1579.0,158.0,200.0,158.0,200.0,8
9,Colorado,Baca County,2209.0,2266.0,413.0,304.0,53.0,46.0,53.0,46.0,8
11,Colorado,Bent County,2581.0,2599.0,315.0,244.0,40.0,40.0,40.0,40.0,8
