county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Harvey County, KS",79,KS,Harvey County,23766.0,23692.0,2884.0,2818.0,313.0,366.0,313.0,366.0,20
"Haskell County, KS",81,KS,Haskell County,2618.0,2568.0,691.0,695.0,69.0,81.0,69.0,81.0,20
"Hodgeman County, KS",83,KS,Hodgeman County,1158.0,1175.0,189.0,197.0,22.0,27.0,22.0,27.0,20
"Jackson County, KS",85,KS,Jackson County,9297.0,9312.0,1209.0,1281.0,134.0,160.0,134.0,160.0,20
"Jefferson County, KS",87,KS,Jefferson County,13902.0,13660.0,1432.0,1453.0,160.0,191.0,160.0,191.0,20
"Jewell County, KS",89,KS,Jewell County,1734.0,1705.0,242.0,223.0,31.0,33.0,31.0,33.0,20
"Johnson County, KS",91,KS,Johnson County,478921.0,484957.0,36800.0,30877.0,2582.0,2566.0,2582.0,2566.0,20
"Kearny County, KS",93,KS,Kearny County,2599.0,2467.0,562.0,615.0,62.0,77.0,62.0,77.0,20
"Kingman County, KS",95,KS,Kingman County,4980.0,4888.0,548.0,488.0,67.0,71.0,67.0,71.0,20
"Kiowa County, KS",97,KS,Kiowa County,1487.0,1479.0,272.0,285.0,31.0,38.0,31.0,38.0,20
"Labette County, KS",99,KS,Labette County,13548.0,13840.0,1961.0,1554.0,205.0,209.0,205.0,209.0,20
"Lane County, KS",101,KS,Lane County,1006.0,977.0,147.0,169.0,19.0,24.0,19.0,24.0,20
"Leavenworth County, KS",103,KS,Leavenworth County,58547.0,58442.0,5102.0,5155.0,585.0,650.0,585.0,650.0,20
"Lincoln County, KS",105,KS,Lincoln County,1885.0,1962.0,290.0,241.0,36.0,35.0,36.0,35.0,20
"Linn County, KS",107,KS,Linn County,6498.0,6519.0,884.0,849.0,98.0,114.0,98.0,114.0,20
"Logan County, KS",109,KS,Logan County,1955.0,1868.0,228.0,261.0,29.0,38.0,29.0,38.0,20
"Lyon County, KS",111,KS,Lyon County,22926.0,22951.0,3679.0,3440.0,417.0,437.0,417.0,437.0,20
"Marion County, KS",115,KS,Marion County,7526.0,7435.0,1011.0,946.0,111.0,124.0,111.0,124.0,20
"Marshall County, KS",117,KS,Marshall County,6819.0,6709.0,668.0,682.0,81.0,94.0,81.0,94.0,20
"McPherson County, KS",113,KS,McPherson County,20342.0,20073.0,1989.0,2080.0,231.0,285.0,231.0,285.0,20
"Meade County, KS",119,KS,Meade County,2623.0,2544.0,542.0,636.0,59.0,73.0,59.0,73.0,20
"Miami County, KS",121,KS,Miami County,26030.0,25971.0,2087.0,1961.0,247.0,272.0,247.0,272.0,20
"Mitchell County, KS",123,KS,Mitchell County,3924.0,3921.0,442.0,391.0,53.0,58.0,53.0,58.0,20
"Montgomery County, KS",125,KS,Montgomery County,21027.0,21061.0,3220.0,2885.0,324.0,362.0,324.0,362.0,20
"Morris County, KS",127,KS,Morris County,3725.0,3648.0,480.0,472.0,58.0,66.0,58.0,66.0,20
"Morton County, KS",129,KS,Morton County,1673.0,1631.0,313.0,322.0,34.0,42.0,34.0,42.0,20
"Nemaha County, KS",131,KS,Nemaha County,7485.0,7399.0,655.0,623.0,80.0,94.0,80.0,94.0,20
"Neosho County, KS",133,KS,Neosho County,11121.0,10953.0,1186.0,1305.0,146.0,185.0,146.0,185.0,20
