,County,Sites
450,"Lee County, GA",5
451,"Liberty County, GA",10
452,"Lincoln County, GA",1
453,"Long County, GA",3
454,"Lowndes County, GA",19
455,"Lumpkin County, GA",4
456,"Macon County, GA",2
457,"Madison County, GA",4
458,"Marion County, GA",1
459,"McDuffie County, GA",4
460,"McIntosh County, GA",3
461,"Meriwether County, GA",5
462,"Miller County, GA",2
463,"Mitchell County, GA",3
464,"Monroe County, GA",4
465,"Montgomery County, GA",1
466,"Morgan County, GA",2
467,"Murray County, GA",5
468,"Muscogee County, GA",30
469,"Newton County, GA",8
470,"Oconee County, GA",6
471,"Oglethorpe County, GA",1
472,"Paulding County, GA",16
473,"Peach County, GA",5
474,"Pickens County, GA",7
475,"Pierce County, GA",1
476,"Pike County, GA",1
477,"Polk County, GA",5
478,"Pulaski County, GA",4
479,"Putnam County, GA",3
480,"Quitman County, GA",1
481,"Rabun County, GA",6
482,"Randolph County, GA",2
483,"Richmond County, GA",20
484,"Rockdale County, GA",12
485,"Schley County, GA",1
486,"Screven County, GA",2
487,"Seminole County, GA",1
488,"Spalding County, GA",8
489,"Stephens County, GA",4
490,"Stewart County, GA",2
491,"Sumter County, GA",4
492,"Talbot County, GA",1
493,"Tattnall County, GA",5
494,"Taylor County, GA",2
495,"Telfair County, GA",3
496,"Terrell County, GA",1
497,"Thomas County, GA",5
498,"Tift County, GA",12
499,"Toombs County, GA",2
500,"Towns County, GA",4
501,"Treutlen County, GA",1
502,"Troup County, GA",8
503,"Turner County, GA",1
504,"Twiggs County, GA",2
505,"Union County, GA",4
506,"Upson County, GA",3
507,"Walker County, GA",4
508,"Walton County, GA",6
509,"Ware County, GA",3
510,"Warren County, GA",1
511,"Washington County, GA",3
512,"Wayne County, GA",5
513,"Webster County, GA",1
514,"Wheeler County, GA",2
515,"White County, GA",4
516,"Whitfield County, GA",10
517,"Wilcox County, GA",1
518,"Wilkes County, GA",2
519,"Wilkinson County, GA",2
520,"Worth County, GA",3
521,"Hawaii County, HI",18
522,"Honolulu County, HI",53
523,"Kauai County, HI",7
524,"Maui County, HI",25
525,"Adair County, IA",1
526,"Adams County, IA",3
527,"Appanoose County, IA",1
528,"Benton County, IA",1
529,"Black Hawk County, IA",13
530,"Boone County, IA",1
531,"Bremer County, IA",1
532,"Buena Vista County, IA",2
533,"Butler County, IA",1
534,"Calhoun County, IA",1
535,"Carroll County, IA",1
536,"Cedar County, IA",1
537,"Cerro Gordo County, IA",4
538,"Cherokee County, IA",3
539,"Clarke County, IA",2
540,"Clay County, IA",1
541,"Clayton County, IA",1
542,"Clinton County, IA",4
543,"Crawford County, IA",1
544,"Dallas County, IA",6
545,"Davis County, IA",1
546,"Decatur County, IA",4
547,"Des Moines County, IA",1
548,"Dickinson County, IA",2
549,"Dubuque County, IA",3
550,"Emmet County, IA",1
551,"Fayette County, IA",2
552,"Floyd County, IA",1
553,"Fremont County, IA",1
554,"Greene County, IA",1
555,"Grundy County, IA",1
556,"Guthrie County, IA",1
557,"Hamilton County, IA",1
558,"Hancock County, IA",1
559,"Hardin County, IA",1
560,"Henry County, IA",2
561,"Humboldt County, IA",2
562,"Iowa County, IA",1
563,"Jasper County, IA",2
564,"Jefferson County, IA",2
565,"Johnson County, IA",12
566,"Kossuth County, IA",1
567,"Lee County, IA",1
