county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Jasper County, SC",53,SC,Jasper County,45,14219,29073,30324
"Kershaw County, SC",55,SC,Kershaw County,45,66551,65536,66130
"Lancaster County, SC",57,SC,Lancaster County,45,319090,96652,100336
"Laurens County, SC",59,SC,Laurens County,45,47546,67551,67803
"Lee County, SC",61,SC,Lee County,45,164542,16458,16280
"Lexington County, SC",63,SC,Lexington County,45,298750,294891,300137
"McCormick County, SC",65,SC,McCormick County,45,9463,9513,9760
"Marion County, SC",67,SC,Marion County,45,29709,29043,28784
"Marlboro County, SC",69,SC,Marlboro County,45,26118,26537,26382
"Newberry County, SC",71,SC,Newberry County,45,38440,37715,37996
"Oconee County, SC",73,SC,Oconee County,45,40280,78638,79203
"Orangeburg County, SC",75,SC,Orangeburg County,45,86175,83958,82962
"Pickens County, SC",77,SC,Pickens County,45,19930,131602,132229
"Richland County, SC",79,SC,Richland County,45,15513,416527,418307
"Saluda County, SC",81,SC,Saluda County,45,20473,18830,18821
"Spartanburg County, SC",83,SC,Spartanburg County,45,319785,329364,335864
"Sumter County, SC",85,SC,Sumter County,45,12427,105417,104758
"Union County, SC",87,SC,Union County,45,38682,27148,27016
"Williamsburg County, SC",89,SC,Williamsburg County,45,30368,30902,30484
"York County, SC",91,SC,York County,45,207641,283899,288595
"Aurora County, SD",3,SD,Aurora County,46,2751,2733,2748
"Beadle County, SD",5,SD,Beadle County,46,18453,19146,19121
"Bennett County, SD",7,SD,Bennett County,46,3365,3386,3406
"Bon Homme County, SD",9,SD,Bon Homme County,46,6901,6979,7014
"Brookings County, SD",11,SD,Brookings County,46,35077,34339,34639
"Brown County, SD",13,SD,Brown County,46,6578,38210,38101
"Brule County, SD",15,SD,Brule County,46,5297,5263,5242
"Buffalo County, SD",17,SD,Buffalo County,46,49659,1944,1923
"Butte County, SD",19,SD,Butte County,46,219186,10249,10456
"Campbell County, SD",21,SD,Campbell County,46,93584,1374,1380
"Charles Mix County, SD",23,SD,Charles Mix County,46,9292,9351,9163
"Clark County, SD",25,SD,Clark County,46,22320,3850,3855
"Clay County, SD",27,SD,Clay County,46,13235,14998,15150
"Codington County, SD",29,SD,Codington County,46,28009,28309,28427
"Corson County, SD",31,SD,Corson County,46,4086,3893,3872
"Custer County, SD",33,SD,Custer County,46,5068,8328,8609
"Davison County, SD",35,SD,Davison County,46,19775,19936,19878
"Day County, SD",37,SD,Day County,46,5424,5425,5414
"Deuel County, SD",39,SD,Deuel County,46,1794,4299,4272
"Dewey County, SD",41,SD,Dewey County,46,4891,5226,5246
"Douglas County, SD",43,SD,Douglas County,46,351154,2824,2821
"Edmunds County, SD",45,SD,Edmunds County,46,3829,3977,4033
"Fall River County, SD",47,SD,Fall River County,46,6713,6964,7202
"Faulk County, SD",49,SD,Faulk County,46,2299,2128,2137
"Grant County, SD",51,SD,Grant County,46,18265,7532,7519
"Gregory County, SD",53,SD,Gregory County,46,4185,3994,3977
"Haakon County, SD",55,SD,Haakon County,46,1899,1869,1835
"Hamlin County, SD",57,SD,Hamlin County,46,6164,6167,6255
"Hand County, SD",59,SD,Hand County,46,3191,3130,3095
"Hanson County, SD",61,SD,Hanson County,46,3453,3461,3505
"Harding County, SD",63,SD,Harding County,46,625,1317,1327
"Hughes County, SD",65,SD,Hughes County,46,13279,17704,17694
"Hutchinson County, SD",67,SD,Hutchinson County,46,7291,7411,7411
"Hyde County, SD",69,SD,Hyde County,46,4937,1258,1236
"Jackson County, SD",71,SD,Jackson County,46,51626,2810,2878
"Jerauld County, SD",73,SD,Jerauld County,46,2013,1657,1636
"Jones County, SD",75,SD,Jones County,46,28735,925,879
"Kingsbury County, SD",77,SD,Kingsbury County,46,4939,5211,5192
"Lake County, SD",79,SD,Lake County,46,64386,11010,10851
"Lawrence County, SD",81,SD,Lawrence County,46,32924,25812,26165
"Lincoln County, SD",83,SD,Lincoln County,46,13024,65613,67870
"Lyman County, SD",85,SD,Lyman County,46,3781,3714,3764
"McCook County, SD",87,SD,McCook County,46,5586,5661,5695
"McPherson County, SD",89,SD,McPherson County,46,28542,2397,2420
"Marshall County, SD",91,SD,Marshall County,46,96774,4300,4304
"Meade County, SD",93,SD,Meade County,46,4033,29853,30173
"Mellette County, SD",95,SD,Mellette County,46,2061,1916,1908
"Miner County, SD",97,SD,Miner County,46,2216,2294,2314
"Minnehaha County, SD",99,SD,Minnehaha County,46,193134,197511,199685
"Moody County, SD",101,SD,Moody County,46,6576,6324,6315
"Oglala Lakota County, SD",102,SD,Oglala Lakota County,46,14177,13672,13586
"Pennington County, SD",103,SD,Pennington County,46,14119,109475,111806
"Perkins County, SD",105,SD,Perkins County,46,2891,2824,2819
"Potter County, SD",107,SD,Potter County,46,16526,2471,2475
"Roberts County, SD",109,SD,Roberts County,46,10394,10257,10163
"Sanborn County, SD",111,SD,Sanborn County,46,2344,2318,2378
"Spink County, SD",115,SD,Spink County,46,6376,6338,6269
"Stanley County, SD",117,SD,Stanley County,46,3098,2976,3032
"Sully County, SD",119,SD,Sully County,46,1391,1446,1476
"Todd County, SD",121,SD,Todd County,46,12294,9319,9286
"Tripp County, SD",123,SD,Tripp County,46,5441,5601,5569
"Turner County, SD",125,SD,Turner County,46,7985,8673,8708
"Union County, SD",127,SD,Union County,46,38682,16832,16872
"Walworth County, SD",129,SD,Walworth County,46,5435,5289,5248
"Yankton County, SD",135,SD,Yankton County,46,22814,23238,23297
"Ziebach County, SD",137,SD,Ziebach County,46,2756,2388,2380
"Anderson County, TN",1,TN,Anderson County,47,7858,77209,77576
"Bedford County, TN",3,TN,Bedford County,47,47888,50302,51119
"Benton County, TN",5,TN,Benton County,47,279141,15812,15872
"Bledsoe County, TN",7,TN,Bledsoe County,47,15064,14930,15234
"Blount County, TN",9,TN,Blount County,47,57826,135566,137605
"Bradley County, TN",11,TN,Bradley County,47,10763,108741,110162
"Campbell County, TN",13,TN,Campbell County,47,93584,39277,39578
"Cannon County, TN",15,TN,Cannon County,47,14678,14547,14553
"Carroll County, TN",17,TN,Carroll County,47,28380,28415,28432
"Carter County, TN",19,TN,Carter County,47,26797,56315,56134
"Cheatham County, TN",21,TN,Cheatham County,47,40667,41087,41523
"Chester County, TN",23,TN,Chester County,47,524989,17347,17504
"Claiborne County, TN",25,TN,Claiborne County,47,8988,32038,32267
"Clay County, TN",27,TN,Clay County,47,13235,7554,7555
"Cocke County, TN",29,TN,Cocke County,47,36004,36022,36418
"Coffee County, TN",31,TN,Coffee County,47,52342,58102,59032
"Crockett County, TN",33,TN,Crockett County,47,14230,13884,13979
"Cumberland County, TN",35,TN,Cumberland County,47,10766,61272,62451
"Davidson County, TN",37,TN,Davidson County,47,167609,715486,703953
"Decatur County, TN",39,TN,Decatur County,47,26404,11402,11391
"DeKalb County, TN",41,TN,DeKalb County,47,71513,20171,20478
"Dickson County, TN",43,TN,Dickson County,47,53948,54432,55292
"Dyer County, TN",45,TN,Dyer County,47,37159,36646,36615
"Fayette County, TN",47,TN,Fayette County,47,16302,42139,42832
"Fentress County, TN",49,TN,Fentress County,47,18523,18522,18850
"Franklin County, TN",51,TN,Franklin County,47,31362,42781,43215
"Gibson County, TN",53,TN,Gibson County,47,33659,50375,50541
"Giles County, TN",55,TN,Giles County,47,29464,30295,30542
"Grainger County, TN",57,TN,Grainger County,47,23320,23525,23763
"Greene County, TN",59,TN,Greene County,47,8111,70220,70621
"Grundy County, TN",61,TN,Grundy County,47,51054,13531,13622
"Hamblen County, TN",63,TN,Hamblen County,47,64934,64435,64468
"Hamilton County, TN",65,TN,Hamilton County,47,14428,366991,369135
"Hancock County, TN",67,TN,Hancock County,47,8457,6622,6787
"Hardeman County, TN",69,TN,Hardeman County,47,25050,25410,25426
"Hardin County, TN",71,TN,Hardin County,47,3821,26800,26892
"Hawkins County, TN",73,TN,Hawkins County,47,56786,56669,57288
"Haywood County, TN",75,TN,Haywood County,47,62317,17795,17694
"Henderson County, TN",77,TN,Henderson County,47,6646,27818,27953
"Henry County, TN",79,TN,Henry County,47,17205,32115,32239
"Hickman County, TN",81,TN,Hickman County,47,4380,24942,25307
"Houston County, TN",83,TN,Houston County,47,105882,8285,8317
"Humphreys County, TN",85,TN,Humphreys County,47,8064,18974,19211
"Jackson County, TN",87,TN,Jackson County,47,51626,11617,11750
"Jefferson County, TN",89,TN,Jefferson County,47,658573,54870,55624
"Johnson County, TN",91,TN,Johnson County,47,26578,17966,18170
"Knox County, TN",93,TN,Knox County,47,49699,480126,486677
"Lake County, TN",95,TN,Lake County,47,64386,6980,7128
"Lauderdale County, TN",97,TN,Lauderdale County,47,92729,25100,25108
"Lawrence County, TN",99,TN,Lawrence County,47,32924,44189,44828
"Lewis County, TN",101,TN,Lewis County,47,3838,12602,12857
"Lincoln County, TN",103,TN,Lincoln County,47,13024,35309,35433
"Loudon County, TN",105,TN,Loudon County,47,54068,55097,56690
"McMinn County, TN",107,TN,McMinn County,47,53794,53315,54059
"McNairy County, TN",109,TN,McNairy County,47,25694,25839,25860
"Macon County, TN",111,TN,Macon County,47,18068,25243,25699
"Madison County, TN",113,TN,Madison County,47,372909,98777,98775
"Marion County, TN",115,TN,Marion County,47,29709,28834,28877
"Marshall County, TN",117,TN,Marshall County,47,96774,34441,34984
"Maury County, TN",119,TN,Maury County,47,96387,101700,104760
"Meigs County, TN",121,TN,Meigs County,47,22907,12785,13049
"Monroe County, TN",123,TN,Monroe County,47,20733,46384,46698
"Montgomery County, TN",125,TN,Montgomery County,47,226486,221160,227900
"Moore County, TN",127,TN,Moore County,47,100880,6457,6644
"Morgan County, TN",129,TN,Morgan County,47,119679,21020,21254
"Obion County, TN",131,TN,Obion County,47,30069,30716,30466
"Overton County, TN",133,TN,Overton County,47,22241,22588,22839
"Perry County, TN",135,TN,Perry County,47,8923,8360,8472
"Pickett County, TN",137,TN,Pickett County,47,5048,4995,5079
"Polk County, TN",139,TN,Polk County,47,19964,17569,17776
"Putnam County, TN",141,TN,Putnam County,47,74521,79982,81188
"Rhea County, TN",143,TN,Rhea County,47,33167,32903,33136
"Roane County, TN",145,TN,Roane County,47,53382,53513,53992
"Robertson County, TN",147,TN,Robertson County,47,2108,72860,74098
"Rutherford County, TN",149,TN,Rutherford County,47,67029,343128,352182
"Scott County, TN",151,TN,Scott County,47,10281,21842,21917
"Sequatchie County, TN",153,TN,Sequatchie County,47,15026,15863,16396
"Sevier County, TN",155,TN,Sevier County,47,17007,98497,99517
"Shelby County, TN",157,TN,Shelby County,47,217702,928644,924454
"Smith County, TN",159,TN,Smith County,47,3583,19939,20172
"Stewart County, TN",161,TN,Stewart County,47,6621,13683,13855
"Sullivan County, TN",163,TN,Sullivan County,47,20669,158092,159265
"Sumner County, TN",165,TN,Sumner County,47,22836,197272,200557
"Tipton County, TN",167,TN,Tipton County,47,15148,60961,61004
"Trousdale County, TN",169,TN,Trousdale County,47,11284,11661,12035
"Unicoi County, TN",171,TN,Unicoi County,47,17883,17867,17698
"Union County, TN",173,TN,Union County,47,38682,19820,20040
"Van Buren County, TN",175,TN,Van Buren County,47,16545,6171,6324
"Warren County, TN",177,TN,Warren County,47,5254,41023,41523
"Washington County, TN",179,TN,Washington County,47,16326,133080,134236
"Wayne County, TN",181,TN,Wayne County,47,29927,16202,16409
"Weakley County, TN",183,TN,Weakley County,47,33328,32864,33036
"White County, TN",185,TN,White County,47,78753,27424,27650
"Williamson County, TN",187,TN,Williamson County,47,66597,249424,255735
"Wilson County, TN",189,TN,Wilson County,47,8525,148564,151917
"Anderson County, TX",1,TX,Anderson County,48,7858,57881,58402
"Andrews County, TX",3,TX,Andrews County,48,18705,18612,18440
"Angelina County, TX",5,TX,Angelina County,48,86715,86345,86506
"Aransas County, TX",7,TX,Aransas County,48,23510,23916,24510
"Archer County, TX",9,TX,Archer County,48,8553,8557,8681
"Armstrong County, TX",11,TX,Armstrong County,48,64735,1847,1839
"Atascosa County, TX",13,TX,Atascosa County,48,51153,49089,49939
"Austin County, TX",15,TX,Austin County,48,30032,30109,30380
"Bailey County, TX",17,TX,Bailey County,48,7000,6859,6835
"Bandera County, TX",19,TX,Bandera County,48,23112,20987,21565
"Bastrop County, TX",21,TX,Bastrop County,48,88723,97983,102058
"Baylor County, TX",23,TX,Baylor County,48,3509,3464,3477
"Bee County, TX",25,TX,Bee County,48,32565,30990,30924
"Bell County, TX",27,TX,Bell County,48,26032,371981,379617
"Bexar County, TX",29,TX,Bexar County,48,2003554,2014052,2028236
"Blanco County, TX",31,TX,Blanco County,48,11931,11454,11886
"Borden County, TX",33,TX,Borden County,48,654,641,617
"Bosque County, TX",35,TX,Bosque County,48,18685,18239,18503
"Bowie County, TX",37,TX,Bowie County,48,93245,92792,92581
"Brazoria County, TX",39,TX,Brazoria County,48,374264,373368,379689
"Brazos County, TX",41,TX,Brazos County,48,229211,234480,237032
"Brewster County, TX",43,TX,Brewster County,48,9203,9566,9450
"Briscoe County, TX",45,TX,Briscoe County,48,1546,1421,1403
"Brooks County, TX",47,TX,Brooks County,48,15457,7030,6994
"Brown County, TX",49,TX,Brown County,48,6578,38002,38192
"Burleson County, TX",51,TX,Burleson County,48,18443,17644,18051
"Burnet County, TX",53,TX,Burnet County,48,48155,49427,50954
"Caldwell County, TX",55,TX,Caldwell County,48,12747,45967,46791
"Calhoun County, TX",57,TX,Calhoun County,48,113605,20047,19727
"Callahan County, TX",59,TX,Callahan County,48,13943,13750,14115
"Cameron County, TX",61,TX,Cameron County,48,4447,421191,423029
"Camp County, TX",63,TX,Camp County,48,13094,12450,12616
"Carson County, TX",65,TX,Carson County,48,5926,5808,5746
"Cass County, TX",67,TX,Cass County,48,12147,28399,28560
"Castro County, TX",69,TX,Castro County,48,7530,7337,7374
"Chambers County, TX",71,TX,Chambers County,48,33254,47051,48865
"Cherokee County, TX",73,TX,Cherokee County,48,26196,50477,51097
"Childress County, TX",75,TX,Childress County,48,7306,6648,6736
"Clay County, TX",77,TX,Clay County,48,13235,10245,10263
"Cochran County, TX",79,TX,Cochran County,48,2853,2559,2516
"Coke County, TX",81,TX,Coke County,48,3387,3288,3321
"Coleman County, TX",83,TX,Coleman County,48,8175,7671,7735
"Collin County, TX",85,TX,Collin County,48,1034730,1073149,1109462
"Collingsworth County, TX",87,TX,Collingsworth County,48,2920,2635,2615
"Colorado County, TX",89,TX,Colorado County,48,21493,20566,20630
"Comal County, TX",91,TX,Comal County,48,156209,163573,174986
"Comanche County, TX",93,TX,Comanche County,48,1700,13600,13775
"Concho County, TX",95,TX,Concho County,48,2726,3319,3341
"Cooke County, TX",97,TX,Cooke County,48,41257,41697,42244
"Coryell County, TX",99,TX,Coryell County,48,75951,83096,84232
"Cottle County, TX",101,TX,Cottle County,48,1398,1374,1381
"Crane County, TX",103,TX,Crane County,48,4797,4668,4680
"Crockett County, TX",105,TX,Crockett County,48,14230,3111,3068
"Crosby County, TX",107,TX,Crosby County,48,5737,5098,5106
"Culberson County, TX",109,TX,Culberson County,48,2171,2193,2193
"Dallam County, TX",111,TX,Dallam County,48,7287,7116,7172
"Dallas County, TX",113,TX,Dallas County,48,37196,2610957,2586050
"Dawson County, TX",115,TX,Dawson County,48,26108,12439,12413
"Deaf Smith County, TX",117,TX,Deaf Smith County,48,18546,18503,18329
"Delta County, TX",119,TX,Delta County,48,31162,5233,5392
"Denton County, TX",121,TX,Denton County,48,887207,913900,941647
"DeWitt County, TX",123,TX,DeWitt County,48,20160,19809,19918
"Dickens County, TX",125,TX,Dickens County,48,2211,1760,1740
"Dimmit County, TX",127,TX,Dimmit County,48,10124,8563,8473
"Donley County, TX",129,TX,Donley County,48,3278,3269,3268
"Duval County, TX",131,TX,Duval County,48,957755,9808,9756
"Eastland County, TX",133,TX,Eastland County,48,18360,17754,17864
"Ector County, TX",135,TX,Ector County,48,166223,165467,161091
"Edwards County, TX",137,TX,Edwards County,48,6395,1414,1438
"Ellis County, TX",139,TX,Ellis County,48,28553,194272,202678
"El Paso County, TX",141,TX,El Paso County,48,720403,866093,867947
"Erath County, TX",143,TX,Erath County,48,42698,42715,43378
"Falls County, TX",145,TX,Falls County,48,17297,16961,17313
"Fannin County, TX",147,TX,Fannin County,48,26188,35732,36569
"Fayette County, TX",149,TX,Fayette County,48,16302,24452,24687
"Fisher County, TX",151,TX,Fisher County,48,3830,3677,3706
"Floyd County, TX",153,TX,Floyd County,48,98498,5378,5350
"Foard County, TX",155,TX,Foard County,48,1155,1086,1080
"Fort Bend County, TX",157,TX,Fort Bend County,48,811688,828632,858527
"Franklin County, TX",159,TX,Franklin County,48,31362,10366,10464
"Freestone County, TX",161,TX,Freestone County,48,19717,19445,19774
"Frio County, TX",163,TX,Frio County,48,20306,18366,18436
"Gaines County, TX",165,TX,Gaines County,48,21492,21701,21895
"Galveston County, TX",167,TX,Galveston County,48,342139,351458,355062
"Garza County, TX",169,TX,Garza County,48,6229,5794,5863
"Gillespie County, TX",171,TX,Gillespie County,48,26988,26732,27297
"Glasscock County, TX",173,TX,Glasscock County,48,1409,1114,1149
"Goliad County, TX",175,TX,Goliad County,48,7658,7005,7163
"Gonzales County, TX",177,TX,Gonzales County,48,20837,19653,19641
"Gray County, TX",179,TX,Gray County,48,5988,21179,21030
"Grayson County, TX",181,TX,Grayson County,48,26427,136014,139336
"Gregg County, TX",183,TX,Gregg County,48,123945,124175,124201
"Grimes County, TX",185,TX,Grimes County,48,28880,29414,30287
"Guadalupe County, TX",187,TX,Guadalupe County,48,4300,173541,177036
"Hale County, TX",189,TX,Hale County,48,14651,32439,32220
"Hall County, TX",191,TX,Hall County,48,204441,2801,2845
"Hamilton County, TX",193,TX,Hamilton County,48,14428,8230,8229
"Hansford County, TX",195,TX,Hansford County,48,5399,5255,5159
"Hardeman County, TX",197,TX,Hardeman County,48,25050,3559,3552
"Hardin County, TX",199,TX,Hardin County,48,3821,56277,56973
"Harris County, TX",201,TX,Harris County,48,35236,4732491,4728030
"Harrison County, TX",203,TX,Harrison County,48,40515,68778,69150
"Hartley County, TX",205,TX,Hartley County,48,5576,5362,5397
"Haskell County, TX",207,TX,Haskell County,48,3968,5424,5411
"Hays County, TX",209,TX,Hays County,48,230191,243809,255397
"Hemphill County, TX",211,TX,Hemphill County,48,3819,3368,3271
"Henderson County, TX",213,TX,Henderson County,48,6646,82348,83667
"Hidalgo County, TX",215,TX,Hidalgo County,48,4198,872204,880356
"Hill County, TX",217,TX,Hill County,48,16484,35965,36471
"Hockley County, TX",219,TX,Hockley County,48,23021,21490,21363
"Hood County, TX",221,TX,Hood County,48,61643,61953,64222
"Hopkins County, TX",223,TX,Hopkins County,48,44686,36795,37211
"Houston County, TX",225,TX,Houston County,48,105882,22068,22241
"Howard County, TX",227,TX,Howard County,48,13202,34797,34128
"Hudspeth County, TX",229,TX,Hudspeth County,48,4886,3196,3287
"Hunt County, TX",231,TX,Hunt County,48,98594,100231,103394
"Hutchinson County, TX",233,TX,Hutchinson County,48,7291,20539,20495
"Irion County, TX",235,TX,Irion County,48,1536,1522,1552
"Jack County, TX",237,TX,Jack County,48,8935,8492,8712
"Jackson County, TX",239,TX,Jackson County,48,51626,15000,15121
"Jasper County, TX",241,TX,Jasper County,48,14219,32900,32975
"Jeff Davis County, TX",243,TX,Jeff Davis County,48,15115,1978,1949
"Jefferson County, TX",245,TX,Jefferson County,48,658573,255979,253704
"Jim Hogg County, TX",247,TX,Jim Hogg County,48,5200,4839,4801
"Jim Wells County, TX",249,TX,Jim Wells County,48,40482,38813,38847
"Johnson County, TX",251,TX,Johnson County,48,26578,180733,187280
"Jones County, TX",253,TX,Jones County,48,28735,19676,19873
"Karnes County, TX",255,TX,Karnes County,48,15601,14721,14754
"Kaufman County, TX",257,TX,Kaufman County,48,136154,146986,157768
"Kendall County, TX",259,TX,Kendall County,48,128990,44527,46788
"Kenedy County, TX",261,TX,Kenedy County,48,404,346,340
"Kent County, TX",263,TX,Kent County,48,180786,759,749
"Kerr County, TX",265,TX,Kerr County,48,52600,52676,53161
"Kimble County, TX",267,TX,Kimble County,48,4337,4289,4365
"King County, TX",269,TX,King County,48,272,270,258
"Kinney County, TX",271,TX,Kinney County,48,3667,3127,3130
"Kleberg County, TX",273,TX,Kleberg County,48,30680,30958,30635
"Knox County, TX",275,TX,Knox County,48,49699,3361,3351
"Lamar County, TX",277,TX,Lamar County,48,13805,50077,50098
"Lamb County, TX",279,TX,Lamb County,48,12893,12984,12898
"Lampasas County, TX",281,TX,Lampasas County,48,21428,21707,22252
"La Salle County, TX",283,TX,La Salle County,48,7520,6642,6670
"Lavaca County, TX",285,TX,Lavaca County,48,20154,20338,20544
"Lee County, TX",287,TX,Lee County,48,164542,17499,17706
"Leon County, TX",289,TX,Leon County,48,293582,15727,15959
"Liberty County, TX",291,TX,Liberty County,48,8354,92351,97621
"Limestone County, TX",293,TX,Limestone County,48,98915,22103,22119
"Lipscomb County, TX",295,TX,Lipscomb County,48,3233,3042,2931
"Live Oak County, TX",297,TX,Live Oak County,48,12207,11343,11377
"Llano County, TX",299,TX,Llano County,48,21795,21249,21978
"Loving County, TX",301,TX,Loving County,48,169,67,57
"Lubbock County, TX",303,TX,Lubbock County,48,310569,311419,314451
"Lynn County, TX",305,TX,Lynn County,48,5951,5606,5688
"McCulloch County, TX",307,TX,McCulloch County,48,7984,7567,7533
"McLennan County, TX",309,TX,McLennan County,48,256623,261023,263115
"McMullen County, TX",311,TX,McMullen County,48,743,599,608
"Madison County, TX",313,TX,Madison County,48,372909,13445,13718
"Marion County, TX",315,TX,Marion County,48,29709,9752,9645
"Martin County, TX",317,TX,Martin County,48,161000,5250,5211
"Mason County, TX",319,TX,Mason County,48,13359,3964,3943
"Matagorda County, TX",321,TX,Matagorda County,48,36643,36269,36344
"Maverick County, TX",323,TX,Maverick County,48,58722,57844,58056
"Medina County, TX",325,TX,Medina County,48,179746,50920,51981
"Menard County, TX",327,TX,Menard County,48,12196,1971,1982
"Midland County, TX",329,TX,Midland County,48,83156,170221,167969
"Milam County, TX",331,TX,Milam County,48,24823,24724,25106
"Mills County, TX",333,TX,Mills County,48,15109,4439,4480
"Mitchell County, TX",335,TX,Mitchell County,48,21863,8985,9070
"Montague County, TX",337,TX,Montague County,48,19818,19969,20409
"Montgomery County, TX",339,TX,Montgomery County,48,226486,624938,648886
"Moore County, TX",341,TX,Moore County,48,100880,21273,21118
"Morris County, TX",343,TX,Morris County,48,5620,11963,12030
"Motley County, TX",345,TX,Motley County,48,1200,1052,1067
"Nacogdoches County, TX",347,TX,Nacogdoches County,48,65204,64624,64668
"Navarro County, TX",349,TX,Navarro County,48,50113,52784,53591
"Newton County, TX",351,TX,Newton County,48,7753,12163,12241
"Nolan County, TX",353,TX,Nolan County,48,14714,14721,14597
"Nueces County, TX",355,TX,Nueces County,48,362294,353090,353079
"Ochiltree County, TX",357,TX,Ochiltree County,48,9836,9960,9782
"Oldham County, TX",359,TX,Oldham County,48,66799,1761,1717
"Orange County, TX",361,TX,Orange County,48,3175692,84702,84742
"Palo Pinto County, TX",363,TX,Palo Pinto County,48,29189,28427,28686
"Panola County, TX",365,TX,Panola County,48,34192,22513,22675
"Parker County, TX",367,TX,Parker County,48,142878,149432,156764
"Parmer County, TX",369,TX,Parmer County,48,9605,9851,9813
"Pecos County, TX",371,TX,Pecos County,48,15823,15165,15118
"Polk County, TX",373,TX,Polk County,48,19964,50505,51899
"Potter County, TX",375,TX,Potter County,48,16526,118173,116547
"Presidio County, TX",377,TX,Presidio County,48,6704,6102,6140
"Rains County, TX",379,TX,Rains County,48,12514,12199,12509
"Randall County, TX",381,TX,Randall County,48,137713,141231,143854
"Reagan County, TX",383,TX,Reagan County,48,3849,3376,3253
"Real County, TX",385,TX,Real County,48,3452,2743,2826
"Red River County, TX",387,TX,Red River County,48,12023,11550,11555
"Reeves County, TX",389,TX,Reeves County,48,15976,14730,14487
"Refugio County, TX",391,TX,Refugio County,48,6948,6747,6756
"Roberts County, TX",393,TX,Roberts County,48,10394,823,797
"Robertson County, TX",395,TX,Robertson County,48,2108,16740,16958
"Rockwall County, TX",397,TX,Rockwall County,48,104915,109090,116381
"Runnels County, TX",399,TX,Runnels County,48,10264,9921,9943
"Rusk County, TX",401,TX,Rusk County,48,54406,52225,52743
"Sabine County, TX",403,TX,Sabine County,48,10542,9881,10039
"San Augustine County, TX",405,TX,San Augustine County,48,8237,7919,7922
"San Jacinto County, TX",407,TX,San Jacinto County,48,28859,27483,27878
"San Patricio County, TX",409,TX,San Patricio County,48,66730,68772,69699
"San Saba County, TX",411,TX,San Saba County,48,6055,5730,5827
"Schleicher County, TX",413,TX,Schleicher County,48,2793,2442,2429
"Scurry County, TX",415,TX,Scurry County,48,16703,16931,16824
"Shackelford County, TX",417,TX,Shackelford County,48,3265,3122,3212
"Shelby County, TX",419,TX,Shelby County,48,217702,23926,23939
"Sherman County, TX",421,TX,Sherman County,48,5917,2780,2798
"Smith County, TX",423,TX,Smith County,48,3583,234063,237186
"Somervell County, TX",425,TX,Somervell County,48,9128,9214,9469
"Starr County, TX",427,TX,Starr County,48,64633,65835,66049
"Stephens County, TX",429,TX,Stephens County,48,25925,9079,9173
"Sterling County, TX",431,TX,Sterling County,48,1291,1383,1381
"Stonewall County, TX",433,TX,Stonewall County,48,1350,1245,1217
"Sutton County, TX",435,TX,Sutton County,48,3776,3362,3319
"Swisher County, TX",437,TX,Swisher County,48,7397,6957,7008
"Tarrant County, TX",439,TX,Tarrant County,48,2102515,2114709,2126477
"Taylor County, TX",441,TX,Taylor County,48,21569,143383,143326
"Terrell County, TX",443,TX,Terrell County,48,8531,744,724
"Terry County, TX",445,TX,Terry County,48,12337,11792,11754
"Throckmorton County, TX",447,TX,Throckmorton County,48,1501,1443,1495
"Titus County, TX",449,TX,Titus County,48,32750,31264,31183
"Tom Green County, TX",451,TX,Tom Green County,48,119200,120105,119411
"Travis County, TX",453,TX,Travis County,48,1273954,1296100,1305154
"Trinity County, TX",455,TX,Trinity County,48,12285,13623,13827
"Tyler County, TX",457,TX,Tyler County,48,21672,19797,20077
"Upshur County, TX",459,TX,Upshur County,48,41753,40975,41774
"Upton County, TX",461,TX,Upton County,48,3657,3296,3265
"Uvalde County, TX",463,TX,Uvalde County,48,26741,24540,24729
"Val Verde County, TX",465,TX,Val Verde County,48,49025,47582,47564
"Van Zandt County, TX",467,TX,Van Zandt County,48,56590,59690,61275
"Victoria County, TX",469,TX,Victoria County,48,92084,91236,90964
"Walker County, TX",471,TX,Walker County,48,63521,76543,77977
"Waller County, TX",473,TX,Waller County,48,55246,57349,59781
"Ward County, TX",475,TX,Ward County,48,67641,11656,11194
"Washington County, TX",477,TX,Washington County,48,16326,35837,35891
"Webb County, TX",479,TX,Webb County,48,276652,267234,267945
"Wharton County, TX",481,TX,Wharton County,48,41556,41550,41721
"Wheeler County, TX",483,TX,Wheeler County,48,7855,4980,4927
"Wichita County, TX",485,TX,Wichita County,48,2119,129546,130069
"Wilbarger County, TX",487,TX,Wilbarger County,48,12769,12846,12731
"Willacy County, TX",489,TX,Willacy County,48,21358,20129,20316
"Williamson County, TX",491,TX,Williamson County,48,66597,615266,643026
"Wilson County, TX",493,TX,Wilson County,48,8525,49994,51257
"Winkler County, TX",495,TX,Winkler County,48,8010,7749,7415
"Wise County, TX",497,TX,Wise County,48,69984,68866,71714
"Wood County, TX",499,TX,Wood County,48,130817,45010,45875
"Yoakum County, TX",501,TX,Yoakum County,48,8713,7669,7607
"Young County, TX",503,TX,Young County,48,18010,17839,17977
"Zapata County, TX",505,TX,Zapata County,48,14179,13884,13908
"Zavala County, TX",507,TX,Zavala County,48,11840,9652,9534
"Beaver County, UT",1,UT,Beaver County,49,5311,7076,7249
