county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Perry County, AR",105,AR,Perry County,5,8923,9997,9964
"Phillips County, AR",107,AR,Phillips County,5,17782,16445,15906
"Pike County, AR",109,AR,Pike County,5,33114,10165,10066
"Poinsett County, AR",111,AR,Poinsett County,5,23528,22893,22660
"Polk County, AR",113,AR,Polk County,5,19964,19182,19353
"Pope County, AR",115,AR,Pope County,5,64072,63346,63789
"Prairie County, AR",117,AR,Prairie County,5,8062,8248,8135
"Pulaski County, AR",119,AR,Pulaski County,5,391911,399073,397821
"Randolph County, AR",121,AR,Randolph County,5,22722,18581,18865
"St. Francis County, AR",123,AR,St. Francis County,5,24994,23046,22739
"Saline County, AR",125,AR,Saline County,5,122437,123681,125233
"Scott County, AR",127,AR,Scott County,5,10281,9811,9822
"Searcy County, AR",129,AR,Searcy County,5,7881,7827,7880
"Sebastian County, AR",131,AR,Sebastian County,5,127827,127739,128400
"Sevier County, AR",133,AR,Sevier County,5,17007,15778,15783
"Sharp County, AR",135,AR,Sharp County,5,17442,17282,17622
"Stone County, AR",137,AR,Stone County,5,12506,12364,12481
"Union County, AR",139,AR,Union County,5,38682,38925,38340
"Van Buren County, AR",141,AR,Van Buren County,5,16545,15765,15694
"Washington County, AR",143,AR,Washington County,5,16326,246662,250057
"White County, AR",145,AR,White County,5,78753,76810,77207
"Woodruff County, AR",147,AR,Woodruff County,5,6320,6200,6116
"Yell County, AR",149,AR,Yell County,5,21341,20216,20155
"Alameda County, CA",1,CA,Alameda County,6,1671329,1679844,1648556
"Alpine County, CA",3,CA,Alpine County,6,1129,1198,1235
"Amador County, CA",5,CA,Amador County,6,39752,40541,41259
"Butte County, CA",7,CA,Butte County,6,219186,210083,208309
"Calaveras County, CA",9,CA,Calaveras County,6,45905,45327,46221
"Colusa County, CA",11,CA,Colusa County,6,21547,21853,21917
"Contra Costa County, CA",13,CA,Contra Costa County,6,1153526,1165562,1161413
"Del Norte County, CA",15,CA,Del Norte County,6,27812,27709,28100
"El Dorado County, CA",17,CA,El Dorado County,6,192843,191114,193221
"Fresno County, CA",19,CA,Fresno County,6,999101,1008966,1013581
"Glenn County, CA",21,CA,Glenn County,6,28393,28893,28805
"Humboldt County, CA",23,CA,Humboldt County,6,135558,136351,136310
"Imperial County, CA",25,CA,Imperial County,6,181215,179489,179851
"Inyo County, CA",27,CA,Inyo County,6,18039,19023,18970
"Kern County, CA",29,CA,Kern County,6,900202,909997,917673
"Kings County, CA",31,CA,Kings County,6,152940,152627,153443
"Lake County, CA",33,CA,Lake County,6,64386,68174,68766
"Lassen County, CA",35,CA,Lassen County,6,30573,32719,33159
"Los Angeles County, CA",37,CA,Los Angeles County,6,10039107,9989165,9829544
"Madera County, CA",39,CA,Madera County,6,157327,156620,159410
"Marin County, CA",41,CA,Marin County,6,258826,261776,260206
"Mariposa County, CA",43,CA,Mariposa County,6,17203,17124,17147
"Mendocino County, CA",45,CA,Mendocino County,6,86749,91354,91305
"Merced County, CA",47,CA,Merced County,6,277680,281726,286461
"Modoc County, CA",49,CA,Modoc County,6,8841,8658,8661
"Mono County, CA",51,CA,Mono County,6,14444,13206,13247
"Monterey County, CA",53,CA,Monterey County,6,434061,438500,437325
"Napa County, CA",55,CA,Napa County,6,137744,137608,136207
"Nevada County, CA",57,CA,Nevada County,6,8252,102199,103487
"Orange County, CA",59,CA,Orange County,6,3175692,3184101,3167809
"Placer County, CA",61,CA,Placer County,6,398329,405741,412300
"Plumas County, CA",63,CA,Plumas County,6,18807,19769,19915
"Riverside County, CA",65,CA,Riverside County,6,2470546,2422764,2458395
"Sacramento County, CA",67,CA,Sacramento County,6,1552058,1586241,1588921
"San Benito County, CA",69,CA,San Benito County,6,62808,64507,66677
"San Bernardino County, CA",71,CA,San Bernardino County,6,2180085,2182740,2194710
"San Diego County, CA",73,CA,San Diego County,6,3338330,3297252,3286069
"San Francisco County, CA",75,CA,San Francisco County,6,881549,870014,815201
"San Joaquin County, CA",77,CA,San Joaquin County,6,762148,780517,789410
"San Luis Obispo County, CA",79,CA,San Luis Obispo County,6,283111,282231,283159
"San Mateo County, CA",81,CA,San Mateo County,6,766573,762453,737888
"Santa Barbara County, CA",83,CA,Santa Barbara County,6,446499,448096,446475
"Santa Clara County, CA",85,CA,Santa Clara County,6,1927852,1930598,1885508
"Santa Cruz County, CA",87,CA,Santa Cruz County,6,46498,270353,267792
"Shasta County, CA",89,CA,Shasta County,6,180080,181893,182139
"Sierra County, CA",91,CA,Sierra County,6,3005,3228,3283
"Siskiyou County, CA",93,CA,Siskiyou County,6,43539,43962,44118
"Solano County, CA",95,CA,Solano County,6,447643,453274,451716
"Sonoma County, CA",97,CA,Sonoma County,6,494336,488345,485887
"Stanislaus County, CA",99,CA,Stanislaus County,6,550660,552710,552999
"Sutter County, CA",101,CA,Sutter County,6,96971,99480,99063
"Tehama County, CA",103,CA,Tehama County,6,65084,65615,65498
"Trinity County, CA",105,CA,Trinity County,6,12285,16088,16060
"Tulare County, CA",107,CA,Tulare County,6,466195,473736,477054
"Tuolumne County, CA",109,CA,Tuolumne County,6,54478,55516,55810
"Ventura County, CA",111,CA,Ventura County,6,846006,842921,839784
"Yolo County, CA",113,CA,Yolo County,6,220500,216255,216986
"Yuba County, CA",115,CA,Yuba County,6,78668,81932,83421
"Adams County, CO",1,CO,Adams County,8,517421,520163,522140
"Alamosa County, CO",3,CO,Alamosa County,8,16233,16362,16547
"Arapahoe County, CO",5,CO,Arapahoe County,8,656590,655112,654900
"Archuleta County, CO",7,CO,Archuleta County,8,14029,13424,13790
"Baca County, CO",9,CO,Baca County,8,3581,3486,3514
"Bent County, CO",11,CO,Bent County,8,5577,5635,5759
"Boulder County, CO",13,CO,Boulder County,8,326196,330811,329543
"Broomfield County, CO",14,CO,Broomfield County,8,70465,74513,75325
"Chaffee County, CO",15,CO,Chaffee County,8,20356,19571,20074
"Cheyenne County, CO",17,CO,Cheyenne County,8,1831,1736,1707
"Clear Creek County, CO",19,CO,Clear Creek County,8,9700,9404,9446
"Conejos County, CO",21,CO,Conejos County,8,8205,7464,7612
"Costilla County, CO",23,CO,Costilla County,8,3887,3506,3625
"Crowley County, CO",25,CO,Crowley County,8,6061,5893,6012
"Custer County, CO",27,CO,Custer County,8,5068,4712,5045
"Delta County, CO",29,CO,Delta County,8,31162,31232,31661
"Denver County, CO",31,CO,Denver County,8,727211,717630,711463
"Dolores County, CO",33,CO,Dolores County,8,2055,2338,2397
"Douglas County, CO",35,CO,Douglas County,8,351154,360102,368990
"Eagle County, CO",37,CO,Eagle County,8,55127,55665,55727
"Elbert County, CO",39,CO,Elbert County,8,26729,26206,27128
"El Paso County, CO",41,CO,El Paso County,8,720403,731847,737867
"Fremont County, CO",43,CO,Fremont County,8,47839,48981,49661
"Garfield County, CO",45,CO,Garfield County,8,60061,61776,62161
"Gilpin County, CO",47,CO,Gilpin County,8,6243,5810,5873
"Grand County, CO",49,CO,Grand County,8,15734,15733,15860
"Gunnison County, CO",51,CO,Gunnison County,8,17462,16945,17281
"Hinsdale County, CO",53,CO,Hinsdale County,8,820,794,781
"Huerfano County, CO",55,CO,Huerfano County,8,6897,6810,6920
"Jackson County, CO",57,CO,Jackson County,8,51626,1376,1363
"Jefferson County, CO",59,CO,Jefferson County,8,658573,582928,579581
"Kiowa County, CO",61,CO,Kiowa County,8,1406,1452,1452
"Kit Carson County, CO",63,CO,Kit Carson County,8,7097,7064,6950
"Lake County, CO",65,CO,Lake County,8,64386,7409,7407
"La Plata County, CO",67,CO,La Plata County,8,56221,55642,56250
"Larimer County, CO",69,CO,Larimer County,8,356899,359686,362533
"Las Animas County, CO",71,CO,Las Animas County,8,14506,14564,14633
"Lincoln County, CO",73,CO,Lincoln County,8,13024,5669,5688
"Logan County, CO",75,CO,Logan County,8,21466,21495,21487
"Mesa County, CO",77,CO,Mesa County,8,154210,155939,157335
"Mineral County, CO",79,CO,Mineral County,8,769,867,924
"Moffat County, CO",81,CO,Moffat County,8,13283,13267,13185
"Montezuma County, CO",83,CO,Montezuma County,8,26183,25858,26175
"Montrose County, CO",85,CO,Montrose County,8,42758,42798,43168
"Morgan County, CO",87,CO,Morgan County,8,119679,29065,29008
"Otero County, CO",89,CO,Otero County,8,18278,18667,18594
"Ouray County, CO",91,CO,Ouray County,8,4952,4869,5035
"Park County, CO",93,CO,Park County,8,18845,17421,17720
"Phillips County, CO",95,CO,Phillips County,8,17782,4534,4512
"Pitkin County, CO",97,CO,Pitkin County,8,17767,17342,17348
"Prowers County, CO",99,CO,Prowers County,8,12172,11986,11996
"Pueblo County, CO",101,CO,Pueblo County,8,168424,168467,169622
"Rio Blanco County, CO",103,CO,Rio Blanco County,8,6324,6518,6476
"Rio Grande County, CO",105,CO,Rio Grande County,8,11267,11538,11408
"Routt County, CO",107,CO,Routt County,8,25638,24839,25091
"Saguache County, CO",109,CO,Saguache County,8,6824,6383,6471
"San Juan County, CO",111,CO,San Juan County,8,728,710,733
"San Miguel County, CO",113,CO,San Miguel County,8,8179,8055,8074
"Sedgwick County, CO",115,CO,Sedgwick County,8,2248,2390,2336
"Summit County, CO",117,CO,Summit County,8,31011,30971,30941
"Teller County, CO",119,CO,Teller County,8,25388,24726,24926
"Washington County, CO",121,CO,Washington County,8,16326,4815,4861
"Weld County, CO",123,CO,Weld County,8,324492,331358,340036
"Yuma County, CO",125,CO,Yuma County,8,213787,9979,9941
"Fairfield County, CT",1,CT,Fairfield County,9,943332,955895,959768
"Hartford County, CT",3,CT,Hartford County,9,891720,897932,896854
"Litchfield County, CT",5,CT,Litchfield County,9,180333,184874,185000
"Middlesex County, CT",7,CT,Middlesex County,9,162436,163923,164759
"New Haven County, CT",9,CT,New Haven County,9,854757,863498,863700
"New London County, CT",11,CT,New London County,9,265206,268248,268805
"Tolland County, CT",13,CT,Tolland County,9,150721,149650,150293
"Windham County, CT",15,CT,Windham County,9,116782,116240,116418
"Kent County, DE",1,DE,Kent County,10,180786,182256,184149
"New Castle County, DE",3,DE,New Castle County,10,558753,570718,571708
"Sussex County, DE",5,DE,Sussex County,10,234225,238912,247527
"District of Columbia, District of Columbia",1,District of Columbia,District of Columbia,11,705749,690093,670050
"Alachua County, FL",1,FL,Alachua County,12,269043,278684,279238
"Baker County, FL",3,FL,Baker County,12,29210,28309,28715
"Bay County, FL",5,FL,Bay County,12,174705,174461,179168
"Bradford County, FL",7,FL,Bradford County,12,28201,28364,28540
"Brevard County, FL",9,FL,Brevard County,12,601942,608007,616628
"Broward County, FL",11,FL,Broward County,12,1952778,1941516,1930983
"Calhoun County, FL",13,FL,Calhoun County,12,113605,13615,13641
"Charlotte County, FL",15,FL,Charlotte County,12,188910,187960,194843
"Citrus County, FL",17,FL,Citrus County,12,149657,154403,158083
"Clay County, FL",19,FL,Clay County,12,13235,218797,222361
"Collier County, FL",21,FL,Collier County,12,384902,377079,385980
"Columbia County, FL",23,FL,Columbia County,12,23457,69889,70385
"DeSoto County, FL",27,FL,DeSoto County,12,38001,34080,34408
"Dixie County, FL",29,FL,Dixie County,12,16826,16805,17102
"Duval County, FL",31,FL,Duval County,12,957755,996373,999935
"Escambia County, FL",33,FL,Escambia County,12,36633,322424,322390
"Flagler County, FL",35,FL,Flagler County,12,115081,115968,120932
"Franklin County, FL",37,FL,Franklin County,12,31362,12456,12572
"Gadsden County, FL",39,FL,Gadsden County,12,45660,43701,43714
"Gilchrist County, FL",41,FL,Gilchrist County,12,18582,17928,18360
